PARTY,CONSTITUENCY,NAME,SENTIMENT,SYMBOL,GENDER,REVIEWS,
VBA,AKOLA,Ambedkar (Adv) Prakash Yashwant,1,Cup & Saucer,MALE,Honestly I don't think that they will get even a single seat. As the Ncp-Congress and the BjP-Shivsena are contesting in alliance the chances of encashing on the vote divide is minimal for Vanchit Aghadi. Their presence is meagre in most of the seats and other than Prakash Ambedkar they don't have any popular face. Akola is the only constituency where they have a chance of putting up a. Fight.,
BJP,ALAPPUZHA,Dr. K. S. RADHAKRISHNAN,1,Lotus,MALE,When TDP is in power they committed many scams and looted the Andhra Pradesh people's lands to construct the Capital.,
BJP,AKBARPUR,Devendra Singh 'Bhole',1,Lotus,MALE,"Everything has two sides. If the Modi government is doing good, then what are the bad things they are up to?",
NOTA,ALIPURDUARS,NOTA,0,,,None,
INC,AONLA,KUNWAR SARVARAJ SINGH,1,Hand,MALE,"The priority for the Congress party is neither country nor party, but Gandhi family. The entire party even to this day is bending backwards to please the Gandhi family. The party machinery is used to keep Gandhi family in good humor. The priority for the Congress too is making Gandhi family pleased. The country and party only comes next.",
BJP,AGRA,Satyapal Singh Baghel,1,Lotus,MALE,"When the Narendra Modi led government came into power in May 2014, millions of people in India didn't have a bank account. Several decades had passed but financial inclusion remained far-fetched to millions of Indians. So to ensure financial inclusion to one and all, the Jan Dhan Yojana was launched as a mission.",
TRS,ADILABAD,Godam Nagesh,1,Car,MALE,"As regards creation of employment by taking steps to repatriate 83,000 employees to Andhra Pradesh, the government maintained that there was neither delay nor lapse on its part as it took over one year to identify the vacancies and constitute the State Public Service Commission. The recruitment was taken up in all sincerity, it maintains.",
TDP,ANAKAPALLI,ADARI ANAND KUMAR,1,Bicycle,MALE,The people of Andhra Pradesh now come to know which party is doing better governance. The recent panchayat elections and municipal elections are prime examples of how the TDP has lost its presence in Andhra Pradesh.,
BJP,AKOLA,Dhotre Sanjay Shamrao,1,Lotus,MALE,"PM Modi launched Beti Bachao Beti Padhao on 22 January, 2015 at Panipat, Haryana. This mission was initiated to address the worsening Child Sex Ratio (CSR) and issues related to women empowerment over a life-cycle. It is an effort of three ministries: Ministries of Women and Child Development, Health & Family Welfare and Human Resource Development.A strong emphasis has been laid on the change of mindset through training, sensitization, awareness raising and community mobilization on ground.",
BJP,AONLA,DHARMENDRA KASHYAP,1,Lotus,MALE,"PM Modi’s government has taken major steps to give a boost to entrepreneurship. The ‘Make In India’ initiative focuses on not only manufacturing sectors but services and infrastructure sectors as well. A 3 pronged strategy adopted by government is based on 3 C Model to work upon Compliances, Capital & Contract Enforcement.",
BJP,AGRA,Satyapal Singh Baghel,1,Lotus,MALE,"Rural electrification is taking place rapidly and is being done in a truly transparent way. It is worth noting that the electricity reaching the villages is accompanied by dreams, aspirations & upward mobility in life for villagers.",
BJP,ALAPPUZHA,Dr. K. S. RADHAKRISHNAN,1,Lotus,MALE,Promises of jobs and better future gives solace to unemployed youth who dare to dream.Whether and when jobs will materialize is left for the future to unfold,
BJP,AHMADNAGAR,Dr. SUJAY RADHAKRISHNA VIKHEPATIL,1,Lotus,MALE,He did nothing that he promised. Did anybody raise their voice?,
INC,AONLA,KUNWAR SARVARAJ SINGH,0,Hand,MALE,The current leadership cannot take the party out of this and they have proved it time and again.They are not able to function as a coherent opposition since they lost power.They have to first project themselves as a strong and capable alternative to the present government.But it's leadership is totally incapable of projecting this image to Indians.,
BJP,AUTONOMOUS DISTRICT,HOREN SING BEY,1,Lotus,MALE,Law and order is reportedly better than it was under regional parties.,
BJP,AKOLA,Dhotre Sanjay Shamrao,1,Lotus,MALE,"Ganga Rejuvenation Project- Namami GangeThe River Ganga supports more than 600 million people, that’s about 40% of India’s population.In order to turn this vision into reality, the Government launched an integrated Ganga conservation mission called ‘Namami Gange’ to curb the ever-increasing pollution of Ganga River and revive the river. ",
BJP,AHMADNAGAR,Dr. SUJAY RADHAKRISHNA VIKHEPATIL,1,Lotus,MALE,He said that he will go anywhere and people can beat him up if demonetization failed. Did anybody call him?,
BJP,AUTONOMOUS DISTRICT,HOREN SING BEY,1,Lotus,MALE,"Connectivity for the northeast has undoubtedly increased. More trains, roads, flights and, most importantly ?—? the region is now discussed on the mainstream news channels.",
BJP,AGRA,Satyapal Singh Baghel,1,Lotus,MALE,Empowering Different States Equally With Boost To Federalism,
BJP,AKBARPUR,Devendra Singh 'Bhole',1,Lotus,MALE,Putting The Indian Economy On A Fast-Track,
CPI(M),ALATHUR,DR. P.K.BIJU,0,"Hammer, Sickle and Star",MALE,CPIM has made a prominent contribution to the cause of women in the country through its very active organization All India Democratic Women’s Association (AIDWA). The AIDWA holds political rallies and organizes street-plays to make aware the women of the society.,
BJP,AUTONOMOUS DISTRICT,HOREN SING BEY,1,Lotus,MALE,"It takes decades and centuries to build systems and nations, the biggest failure I see in the BJP is that it has destroyed some great things on very flimsy grounds.",
BJP,AONLA,DHARMENDRA KASHYAP,1,Lotus,MALE,Smart Cities Mission is an urban renewal and retrofitting program by the Government of India with a mission to develop 100 cities all over the country making them citizen friendly and sustainable.,
TDP,ANAKAPALLI,ADARI ANAND KUMAR,1,Bicycle,MALE,"Equal budget allocation has been made for Muslim and Christian minorities in the state so that both these communities enjoy overall economic, political, and social development.",
BJP,AKOLA,Dhotre Sanjay Shamrao,1,Lotus,MALE,PM Modi seems to attribute every bit of success to the party and their team work in the hour of need. Modi can be seen diverting all the credits coming his way to his dedicated team. “Teamwork is the essence of good governance. It is necessary to form a team within the party and also within the administrative system.”,
BJP,ALAPPUZHA,Dr. K. S. RADHAKRISHNAN,1,Lotus,MALE,He said that GST will reduce the tax burden on people which was totally a big fat lie. Did anyone protest against that?,
INC,AONLA,KUNWAR SARVARAJ SINGH,0,Hand,MALE,Congress is so corrupt that they themselves admit that they have become parameter on which future corruption will be calculated.,
BJP,AHMADNAGAR,Dr. SUJAY RADHAKRISHNA VIKHEPATIL,1,Lotus,MALE,"The government has sent a mandate to all ministers regarding appointment of their staff and has made it clear that they cannot pick family members or relatives. The appointment would be made from a common pool of candidates which will be decided by the Department of Personnel & Training’s Appointments Committee of Cabinet, which is part of the PMO.",
BJP,AKBARPUR,Devendra Singh 'Bhole',1,Lotus,MALE,"E-governance has been strongly backed by PM Narendra Modi for not only being easy, effective and economical but also because it is environment-friendly and will result in paperless offices. Technology, indeed, has the power to transform our economic potential. Bridging the digital divide, IT acts as an enabler for change.",
BJP,AUTONOMOUS DISTRICT,HOREN SING BEY,1,Lotus,MALE,Introduction of GST to kill the local business of poor traders.,
BJP,AMROHA,KANWAR SINGH TANWAR,1,Lotus,MALE,The one single yet amazing thing that Modi government was able to achieve was something that even the past governments could not do.,
BJP,ALAPPUZHA,Dr. K. S. RADHAKRISHNAN,1,Lotus,MALE,I think our PM Modi Ji is the inspirational leader at present for the youth. Moreover Modi ji Govt did a lot for the country's developments in a short period without any corruption and thus attracted the youth.,
INC,AONLA,KUNWAR SARVARAJ SINGH,1,Hand,MALE,"It was Indian National Congres till Mr Kamraj was the President of it. When Mrs Indira Gandhi became President it became Indira Nehru Congress. Now come to your question, yes Mr Rahul Gandhi is/ was Bahadur Shah Jafar of Indira-Nehru Congress. Now the End.",
BJP,AGRA,Satyapal Singh Baghel,1,Lotus,MALE,"According to PM Narendra Modi, embracing technology cannot happen if only a few people are keen on it and the scale has to be larger. Technology has power to transform our economic potential also. IT + IT = IT. This means ‘Information technology + Indian Talent = India Tomorrow’.",
BJP,AKOLA,Dhotre Sanjay Shamrao,1,Lotus,MALE,"Respecting the dignity of women,Over 3 crore LPG connections have been released across India until now by government.",
BJP,AONLA,DHARMENDRA KASHYAP,1,Lotus,MALE,PM Narendra Modi launched ‘Stand up India’ on 5 April 2016 to back women entrepreneurs and SC/ST communities in non-farm sector. It provides handholding support at both pre-loan stage and during operations such as registration with online platforms and e-marketplaces and sessions on best practices.,
BJP,ALAPPUZHA,Dr. K. S. RADHAKRISHNAN,1,Lotus,MALE,Modi demonetized 86% of currency of world's 3rd largest economy (on PPP basis) & gave a lead time of just around 200 minutes.,
TRS,ADILABAD,Godam Nagesh,1,Car,MALE,"After showering sops on employees with new PRC and retirement age hike, the TRS has also fulfilled its long-pending promise by announcing mega recruitment drive, with the hopes to win the hearts of unemployed youth, who were unhappy with the ruling party for delay in recruitments for the past few years.",
BJP,ALAPPUZHA,Dr. K. S. RADHAKRISHNAN,1,Lotus,MALE,He is the lone world leader standing against OBOR (One Belt One Road). Even Americans & Japanese sent their delegation in OBOR summit.,
BJP,AONLA,DHARMENDRA KASHYAP,1,Lotus,MALE,"Our Prime Minister Narendra Modi is digital savvy and is very active on social media. In a first, the official app of PM Modi provides latest information, instant updates and allows people of India to contribute toward several tasks. By sharing ideas and suggestions, people of India get an exclusive opportunity to receive emails and messages directly from the PM. It has some features that empower citizens to make a positive difference in the society. On its thoughtful forums, one can share ideas, views and interact with a wide range of people.",
INC,AONLA,KUNWAR SARVARAJ SINGH,1,Hand,MALE,I would say this clearly that nothing is wrong with the Congress party at all . It's simply a media blitz which is protraying the supposedweaknesses of the party .It's true that party went rudderless after losing the 2014 elections and ending up with just 44 seats .,
BJP,AGRA,Satyapal Singh Baghel,1,Lotus,MALE,His Numerous Measures To Attract Foreign Direct Investment (FDI) to India,
TDP,ANAKAPALLI,ADARI ANAND KUMAR,0,Bicycle,MALE,The TDP has helped all-around development of the farmers by providing them loans at minimal interest; electrification of the rural areas; and providing cheap water facilities and maximum technological innovation to enhance the agricultural economy in the state.,
BJP,AKOLA,Dhotre Sanjay Shamrao,1,Lotus,MALE,"When National Food Security Act was rolled out by 33 states/UTs in 2016, the Centre extended its scope by making foodgrain available to India’s 12 crore “poorest of poor” for free. The poorest 2.5 crore households now get 35 kg each of highly subsidised foodgrain (rice, wheat and coarse cereals) a month under the Antoydaya Anna Yojana (AAY).",
BJP,ALAPPUZHA,Dr. K. S. RADHAKRISHNAN,1,Lotus,MALE,He received grand welcome in both places - Israel & Palestine. He went to Palestine in a Jordanian Helicopter escorted by Israeli Jets.,
INC,AONLA,KUNWAR SARVARAJ SINGH,1,Hand,MALE,A good democracy needs two strong parties. Lot of mistakes have happened in last 70 years. We need to understand and fix.Congress is the only party which is the second best but about time it has to be restructured.First and foremost they need to get rid of Gandhi family. Had enough of them. It is not a family party and there is no one in the family especially now who is capable who can lead.Then they have to come with new leadership and policies and have to prove themselves better option than BJP in coming years.Personally I don’t see better option otherwise than Congress party but have to change and restructure sincerely and first and foremost without Gandhi family.,
BJP,AHMADNAGAR,Dr. SUJAY RADHAKRISHNA VIKHEPATIL,1,Lotus,MALE,"The world ruler have accessed full support to him and even television channel mostly belong to world ruler who also makes him overrated all the time . It is not just india beyond here , his popularity has been forcefully created all over the world by huge publicity through huge financial support. The special people of world are very happy with him .",
BJP,AHMADNAGAR,Dr. SUJAY RADHAKRISHNA VIKHEPATIL,1,Lotus,MALE,Modi is a good orator. It does make a very good impact on people who are blind to see everything else. The only sense that is purportedly attached to their brain is their ear.,
BJP,ALAPPUZHA,Dr. K. S. RADHAKRISHNAN,1,Lotus,MALE,"Right now, Modi has intellectually manipulated Indians (i.e blocked their brain to think that noo other choice is available to them).",
INC,AONLA,KUNWAR SARVARAJ SINGH,0,Hand,MALE,Lack of organisational strength.,
BJP,AGRA,Satyapal Singh Baghel,1,Lotus,MALE,"This government has provided When National Food Security Act was rolled out by 33 states/UTs in 2016, the Centre extended its scope by making foodgrain available to India’s 12 crore “poorest of poor” for free. The poorest 2.5 crore households now get 35 kg each of highly subsidised foodgrain (rice, wheat and coarse cereals) a month under the Antoydaya Anna Yojana (AAY).",
TDP,ANAKAPALLI,ADARI ANAND KUMAR,1,Bicycle,MALE,TDP is desperately trying to join hads with BJP in Andhra Pradesh. It is evident that 4 of it's Rajya Sabha members hugged BJP in parliament. To eskap from various criminal cases and to run their business joining BJP and taking political asylum. It is necessary for TDP leaders to take a shelter as of now to avoid headaches from ruling party in AP.,
BJP,AKOLA,Dhotre Sanjay Shamrao,1,Lotus,MALE,"Securing our nation, Restoring its pride",
BJP,ALAPPUZHA,Dr. K. S. RADHAKRISHNAN,1,Lotus,MALE,"he gets hurt when a military personnel dies... for congress and AAP, it's nothing. Unless it's a muslim, a 1000 people dying doesnt concern them.",
BJP,AUTONOMOUS DISTRICT,HOREN SING BEY,1,Lotus,MALE,"Modi not only made a body blow to Islamic and left terrorists, even the Hindu terrorism has disappeared. As per Rahul Gandhi's statement to US ambassador, Hindu terrorism was more dangerous than Laskar e Toiba. The UPA home ministers were systematically defaming organizations of Hindus and were creating a bogey of Hindu terrorism. It was very dangerous for India which has majority Hindu population. Without Modi Hindus would have been branded as terrorists globally.",
BJP,AHMADNAGAR,Dr. SUJAY RADHAKRISHNA VIKHEPATIL,1,Lotus,MALE,"Various Infrastructure projects must have generated lakhs of jobs. Those who are crying jobless Ness must look at the success of Skill India, PM Mudra Yojana and Make in India schemes.",
NOTA,ALIPURDUARS,NOTA,0,,,If you don't have trust then better go for NOTA.,
BJP,AUTONOMOUS DISTRICT,HOREN SING BEY,1,Lotus,MALE,"The fulfillment of needs of armed forces has been the Modi Government's top priority. Defense weapons and equipments have been procured and made on war scale. The UPA in 10 years starved our arm forces and Broke their morale. Border, road, rail, Bridges and airport have given boost to our strategic needs. India is able to do surgical strikes today.",
BJP,AHMADNAGAR,Dr. SUJAY RADHAKRISHNA VIKHEPATIL,1,Lotus,MALE,he has a clear goal and clear conscience. He knows where he is going.,
BJP,ALAPPUZHA,Dr. K. S. RADHAKRISHNAN,1,Lotus,MALE,Sri Narendra Modiji has devoted his life to serve India. Whatever he has said about his Nation First and Corrupt free governance has been proved many times over in his 45 years of his political service. Yes service. Whatever he earned has been given back. He does not want any of it.,
BJP,AONLA,DHARMENDRA KASHYAP,1,Lotus,MALE,His reforms led to Moody's upgrading India's rating for first time in 14 years,
TDP,ANAKAPALLI,ADARI ANAND KUMAR,0,Bicycle,MALE,If there is no TDP then Law and order common people rights will be tarnished and police will not be accountable because of criminal politicians.,
BJP,AKOLA,Dhotre Sanjay Shamrao,1,Lotus,MALE,"The Indigenous financial engine Mudra Bank In this scheme, age for filing loan is 23-28 years and the loan should be paid back before reaching 65 years’ age.",
BJP,AGRA,Satyapal Singh Baghel,1,Lotus,MALE,"Under Modi government, various steps have been taken toward achieving eco-friendly goals for a sustainable future. The widely successful campaign Swachh Bharat Abhiyan, Clean Ganga Mission, National Air Quality Index,  Toilets Before Temples, and Clean Mission for Mount Everest.",
INC,AONLA,KUNWAR SARVARAJ SINGH,0,Hand,MALE,Leadership that fails to inspire.,
CPI(M),ALATHUR,DR. P.K.BIJU,1,"Hammer, Sickle and Star",MALE,"The CPIM made its strong presence felt in the states of West Bengal and Tripura where it is part of the Left Front and in Kerala as part of the Left Democratic Front. Each of these alliances is of the communist parties across India. The CPIM ruled West Bengal for a continuous period of 34 years, till 2011. In the State Assembly Elections of 2011, the All India Trinamool Congress took over power from the CPIM. CPIM is in power in Tripura, headed by Manik Sarkar as the Chief Minister. In Kerala, there is an interesting trend of the CPIM coming to power in alternative elections.",
BJP,AONLA,DHARMENDRA KASHYAP,1,Lotus,MALE,"Marking 70 years of India’s independence, Prime Minister Narendra Modi urged people and outlining the vision of ‘Unify India’ (Bharat Jodo) in which he aims to build a “New India” that will be free of caste and religious differences, corruption and terrorism and where all the Indians will get access to housing, electricity and water.",
TDP,ANAKAPALLI,ADARI ANAND KUMAR,0,Bicycle,MALE,These are the cons if tdp don't come into power immediately.,
BJP,ALAPPUZHA,Dr. K. S. RADHAKRISHNAN,1,Lotus,MALE,"All his words commensurate with his action. The Indian Youth finally sees hope and he inspires them to achieve academically, entrpruneurly and intellectually. India now has clear sense of direction what it wants to be to the world. So the Indian Youth is completely behind him.",
BJP,AUTONOMOUS DISTRICT,HOREN SING BEY,1,Lotus,MALE,"This I consider 5th biggest achievement of Modi. The family run parties are exposed. Sonia family, Yadav 1 and Yadav 2 families, Abdulla families, Thakaray family are all at new low. Crown prince and princess are running for cover. Sycophancy and feet touching culture is disappearing from governments.",
BJP,AHMADNAGAR,Dr. SUJAY RADHAKRISHNA VIKHEPATIL,1,Lotus,MALE,Bullet train is being brought to India by PM Modi. It is a symbol of fast moving Indian economy.,
BJP,AKOLA,Dhotre Sanjay Shamrao,1,Lotus,MALE," India becoming a hub of quality educationPM Modi has also set out to bring structural reforms in school and university education. The functioning of Niti Ayog that focuses on government’s mission of ‘grade-wise learning for each class’, the University Grants Commission and restructuring All India Council of Technical Education (AICTE) has been emphasized.",
NOTA,ALIPURDUARS,NOTA,0,,,I thnk this better to go to NOTA.,
BJP,AHMADNAGAR,Dr. SUJAY RADHAKRISHNA VIKHEPATIL,1,Lotus,MALE,"everything modi did was carrying forward congress policies , adhar , GST ,FDI bullet train , he just renamed it he is good for nothing people are blind followers of his lies and lies like if you don't put me in government the Muslim population will rise and en ending of Hindus and that's how he got votes he only won the election in 59% voting . Rest of 41% sat at home as they don't believe anyone of them .",
CPI(M),ALATHUR,DR. P.K.BIJU,1,"Hammer, Sickle and Star",MALE,"The CPIM has a number of principal mass organizations like its labour wing called Centre of Indian Trade Unions (CITU), its peasant wing called the All India Kisan Sabha (AIKS), its student wings called Students Federation of India (SFI) and its youth organization called Democratic Youth Federation of India (DYFI). Each of these wings has contributed significantly to the cause of the poor and working class sections of the society. SFI is one of the foremost voices in left politics in various colleges and universities across India.",
BJP,AUTONOMOUS DISTRICT,HOREN SING BEY,1,Lotus,MALE,"Electricity no more power cuts: I have lived in MP and UP. We had been accustomed to more than 10 hour power cuts a day. With Modi at helm, power is available almost full day. India now generates 15000 Megawatts from solar energy alone which was unimaginable 5 year ago. The days of electricity shortage are over.",
BJP,AHMADNAGAR,Dr. SUJAY RADHAKRISHNA VIKHEPATIL,1,Lotus,MALE,"Young Indians are not the one who choose their leaders based on caste, they don't choose their leaders who only know how to make false promises and in no ways going to fulfill them. Young Indians know the matter of fact that Narendra modi being the experimental prime minister of India knows how to fulfill his promises because he is not the one who has been severed everything with a silver spoon, for each bit he owns today be it support from people and world wide recognition its all the fruit of his hard work and determination. All the steps taken by modi government from Demonetisation to implementation of GST all required guts and brains to take forward with challenges as India being a large country with diverse people and second as some brainy Indians love to use their intelligence towards destructive ways rather in a constructive way. Actions speak louder than words, the quick counter attack against terrorism, economic growth rate, GDP all speak out loud why Narendra modi is loved so much young Indians.",
BJP,AGRA,Satyapal Singh Baghel,1,Lotus,MALE,PM Modi has taken serious initiatives to provide aid to pregnant and lactating mothers for a comfortable birth. Pradhan Mantri Matritva Vandana Yojana provides Rs. 6000 of financial aid to pregnant mothers on their first live birth. ,
BJP,AKOLA,Dhotre Sanjay Shamrao,1,Lotus,MALE,"Special gift for Meritorious Muslim girls Modi government encouraged Muslim girls to pursue higher education and those obtaining graduate degrees and have got MAEF scholarships earlier will get Rs. 15,00 as a wedding gift. This scheme has been called Shaadi Shagun.",
TDP,ANAKAPALLI,ADARI ANAND KUMAR,0,Bicycle,MALE,"I don’t think so, the party is facing difficulty to just survive in Andhra Pradesh, facing elections in this position is a no-go for TDP.",
BJP,ALAPPUZHA,Dr. K. S. RADHAKRISHNAN,1,Lotus,MALE,narendra modi is strong leader endowed with strong decision taking capability.he can take decisions quickly.today india has no leader which can take decision quickly he is workalcoholic in india big problem is that decision taking capability of government is very weak which lead to policy paralysis in india system.narendra modi strong decision taking capability will eradicate policy paralysis in india system.,
NOTA,ALIPURDUARS,NOTA,0,,,no.,
BJP,AKOLA,Dhotre Sanjay Shamrao,1,Lotus,MALE,"PM Modi’s dream for new, better India is so vivid and his love for country is so selfless that he doesn’t even need Sundays off and some sources even say that he works tirelessly for 20 hours a day and sleeps only for about 3-4 hours.",
BJP,AGRA,Satyapal Singh Baghel,1,Lotus,MALE,His Stand Against Divisive Politics ,
BJP,ALAPPUZHA,Dr. K. S. RADHAKRISHNAN,1,Lotus,MALE,narendra modi ability to think new ideas take him to new league . gujarat suffer from problem of electricity . gujarat is present in region where maximum light fall so he take decision to use the solar light for overcoming problem of electricity in india but solar energy has one big limitation that is that it require lot of land which lead to problem of land acquisition . ,
BJP,ALAPPUZHA,Dr. K. S. RADHAKRISHNAN,1,Lotus,MALE,"he solve problem of electricity in gujarat.under his tenure tourism is increased to great extent.when gujarat face earth quake,infrastructure of gujarat is destroyed to great extent but he developed infrastructure of gujarat quakegujarat become agricultural state under his tenure due to good water management policies",
CPI(M),ALATHUR,DR. P.K.BIJU,1,"Hammer, Sickle and Star",MALE,CPIM has made a prominent contribution to the cause of women in the country through its very active organization All India Democratic Women’s Association (AIDWA). The AIDWA holds political rallies and organizes street-plays to make aware the women of the society.,
BJP,AKOLA,Dhotre Sanjay Shamrao,1,Lotus,MALE,"India can defend itself in times of terrorBold steps taken against terrorism by Modi government include carrying out surgical strikes across the Line of Control (LoC) in Kashmir, resuming cordon and search operations in more than 20 villages in Shopian and combing operations launched against Maoists in Chhattisgarh among many others.",
INC,AONLA,KUNWAR SARVARAJ SINGH,0,Hand,MALE,Lack of decisiveness,
BJP,AGRA,Satyapal Singh Baghel,1,Lotus,MALE,"Out of the several schemes that the modi government launched these are a few which falls under the category of WomenEmpowerment:BetiBachao Beti Padhao,The One Stop Centre,Women Helpline,Nari Shakti Puraskar And there were few amendments in the existing women empowerment schemes too.",
TRS,ADILABAD,Godam Nagesh,1,Car,MALE,"The TRS party that formed the government four years ago has come a long way in not only fulfilling the promises made to people before elections, but going far ahead with unique programmes as it celebrates its fourth anniversary on Saturday.",
BJP,AKOLA,Dhotre Sanjay Shamrao,1,Lotus,MALE,First leader in India to connect with people through radio,
TDP,ANAKAPALLI,ADARI ANAND KUMAR,1,Bicycle,MALE,"I think TDP can’t stand a chance against YSRCP, we have seen TDP facing difficulty to find the candidates for their party to stand in elections. Maybe, TDP can give a fight if it goes to the elections with BJP and Janasena.",
BJP,ALAPPUZHA,Dr. K. S. RADHAKRISHNAN,1,Lotus,MALE,less emphasis on populist policies but more emphasis on development,
INC,AONLA,KUNWAR SARVARAJ SINGH,0,Hand,MALE,"Congress is trapped in a quagmire of nepotism and corruption. For any organisation, to succeed and revive, it is essential to have a strong, dedicated leadership with strategic vision. They are seriously lacking it. ",
BJP,ADILABAD,SOYAM BAPU RAO,1,Lotus,MALE,"the law of give and take. He is dedicating every moment for the country, he is bound to get love and respect from everyone (this is a natural process for everyone).",
BJP,AHMADNAGAR,Dr. SUJAY RADHAKRISHNA VIKHEPATIL,1,Lotus,MALE,Beti Bachao Beti padhao. It aimed to encourage people towards girl child's education and welfare. One of the popular trends on the internet was 'Selfie with daughter’ which gained massive momentum as more and more people started to understand that every girl child's development is country's development which in turn means our own development,
BJP,AUTONOMOUS DISTRICT,HOREN SING BEY,1,Lotus,MALE,Modi revolutionized cleanliness. Thanks to clean India mission. Crores of toilets have been built across India. This is the first government which paid so much of attention to cleanliness. Roads and stations are much cleaner than earlier. The life saving medicines and equipments are much cheaper now. Treatment of severe medical problems is fast becoming affordable. With Ayushaman Bharat scheme 50 crore people will be benifitted.,
BJP,AONLA,DHARMENDRA KASHYAP,1,Lotus,MALE,"One can say that PM Modi does what he preaches, and it is a sign of a man who is still in touch with his roots; a man who wants to advance but not at the cost of his cultural values. For PM Modi the nation comes first, maybe that’s one of the reason why he works 18 hours a day. (Narendra Modi believes in India, Indian values, and it's traditions. Hence he insists his colleagues and officials to go in for Indian dresses when bonus official duties.",
NOTA,ALIPURDUARS,NOTA,0,,,None.,
CPI(M),ALATHUR,DR. P.K.BIJU,0,"Hammer, Sickle and Star",MALE,"It does not matter for CPI to have a politburo. With politburo in tow, CPI-M committed enough of historic mistakes and unabashedly apologized without embarassment. Both these communist parties are cut throat political parties. Does it surprise us that both these parties maintain stoic silence over Chinese agressions? In my view our electorate is likely to write obituary about both these political parties.",
BJP,AGRA,Satyapal Singh Baghel,1,Lotus,MALE,"Ram Temple, we greatly expected from BJP, If not done biggest missed opportunity.",
BJP,AKOLA,Dhotre Sanjay Shamrao,1,Lotus,MALE,"Meat and Cow issues handled very poor, unnecessary controversies, relating to patriotism is just bad.",
BJP,AHMADNAGAR,Dr. SUJAY RADHAKRISHNA VIKHEPATIL,1,Lotus,MALE,"In 2014, as a new state and the party which brought separate statehood to Telangana TRS attained power. Of course they have scored good marks in ruling but, even best of the rulers face anti incumbency.",
TDP,ANAKAPALLI,ADARI ANAND KUMAR,0,Bicycle,MALE,"Before coming to elections, TDP told farmers not to pay anything to the banks and promised full loan waiver if they come to power which is about Rs. 87,000 crores",
BJP,AONLA,DHARMENDRA KASHYAP,1,Lotus,MALE,"Fullfilling dreams in every Indians who were never so proud to feel as Pride Indians. Forced Opposition brotherhood like TMC & CPI, SP & BSP, TDP & INC to be more sensible",
TRS,ADILABAD,Godam Nagesh,1,Car,MALE,"Firstly, I am an aam aadmi and I do not belong to any Party. I must say, I am satisfied with the amount of progress the new state is making and Its clearly visible to every aam aadmi of Telangana.",
BJP,AHMADNAGAR,Dr. SUJAY RADHAKRISHNA VIKHEPATIL,1,Lotus,MALE,"INFRASTRUCTURE is one of the great area this government has pushed, Airports, Seaports, Bridges, Roads, and completion of projects at veey high speed.",
NOTA,ALIPURDUARS,NOTA,0,,,None.,
INC,AONLA,KUNWAR SARVARAJ SINGH,0,Hand,MALE,"Congress party was headed by the leader whose clan is not hindu ,as claimed,and who made India into two pieces. The same Party encouraged Abdullah and given them concessions ,even without any discussion,in the platter. The same party was always pro minorities that to a special minority from where the Congress leader comes.",
CPI(M),ALATHUR,DR. P.K.BIJU,0,"Hammer, Sickle and Star",MALE,Famous for anti-business ideology,
BJP,AGRA,Satyapal Singh Baghel,1,Lotus,MALE,"DIRECT BENEFIT TRANSFER is also one of the biggest achievements though not proper publicised, but any kind of assistance and subsidy is digitally directly transfer to beneficiery accounts and due to this major leakages is stopped.",
BJP,AKOLA,Dhotre Sanjay Shamrao,1,Lotus,MALE,"SOCIAL SCHEMES Jandhan Yogna, Financial Inclusions, Aayushman Bharat, PM Insurance schemes, Ujjwala yojna, Fasal Bima Yojna. Controlling prices and non increase of essential commodity prices amongst consumer.",
NOTA,ALIPURDUARS,NOTA,0,,,None.,
TDP,ANAKAPALLI,ADARI ANAND KUMAR,1,Bicycle,MALE,"TDP is the best party. At least Chandrababu Naidu organizes best party ever. He took his supporters to Delhi on flight, put them in AC luxury rooms, gave them free food and drinks, protested on day 1, took them sight seeing on day 2, all on public money. BJP should learn to party like him...",
BJP,AHMADNAGAR,Dr. SUJAY RADHAKRISHNA VIKHEPATIL,1,Lotus,MALE,Modiji almost won 11 consecutive elections,
BJP,AGRA,Satyapal Singh Baghel,1,Lotus,MALE,"RURAL INDIA rural road connectivity, Electrifications of rural india Ujjawala Yogna, Energy efficient was never thought before, Solar, wind energy at their highest peaks amongst world.",
BJP,ALAPPUZHA,Dr. K. S. RADHAKRISHNAN,1,Lotus,MALE,"Modi’s popularity is on the increase after every passing year. He holds highest popular support, followed by Rahul, but the difference between the two is huge.",
TRS,ADILABAD,Godam Nagesh,1,Car,MALE,TRS govt. announced Rs. 8000/Acre/Year towards purchase of Fertilizers. Farming is not as easy as I thought guys! Rs. 8000 to a farmer means a lot of Money when compared to what they get at the end.,
TDP,ANAKAPALLI,ADARI ANAND KUMAR,1,Bicycle,MALE,Tdp will lose because babu only believes in confusing the people of andhra pradesh instead of convincing ( if you can’t convince confuse them),
NOTA,ALIPURDUARS,NOTA,1,,,ok,
INC,AONLA,KUNWAR SARVARAJ SINGH,0,Hand,MALE,"Congress knows that if they support them even if they are terrorists and antinationals, they can be assured of the solid vote which makes them to reach power.",
NOTA,ALIPURDUARS,NOTA,1,,,ok,
BJP,AHMADNAGAR,Dr. SUJAY RADHAKRISHNA VIKHEPATIL,1,Lotus,MALE,NO CORRUPTION OR SCAM IS BIGGEST HIT.,
